x-coord,y-coord,z-coord,timedatestamp,SIM1C,SIM2C,SIM3C,SIM4C,SIM5C,SIM6C,SIM7C
-1000,-1000,0,1,0,0,0,0,0,0,0
-1000,-900,0,1,0,0,0,0,0,0,0
-1000,-800,0,1,0,0,0,0,0,0,0
-1000,-700,0,1,0,0,0,0,0,0,0
-1000,-600,0,1,0,0,0,0,0,0,0
-1000,-500,0,1,0,0,0,0,0,0,0
-1000,-400,0,1,0,0,0,0,0,0,0
-1000,-300,0,1,0,0,0,0,0,0,0
-1000,-200,0,1,0,0,0,0,0,0,0
-1000,-100,0,1,0,0,0,0,0,0,0
-1000,0,0,1,0,0,0,0,0,0,0
-1000,100,0,1,0,0,0,0,0,0,0
-1000,200,0,1,0,0,0,0,0,0,0
-1000,300,0,1,0,0,0,0,0,0,0
-1000,400,0,1,0,0,0,0,0,0,0
-1000,500,0,1,0,0,0,0,0,0,0
-1000,600,0,1,0,0,0,0,0,0,0
-1000,700,0,1,0,0,0,0,0,0,0
-1000,800,0,1,0,0,0,0,0,0,0
-1000,900,0,1,0,0,0,0,0,0,0
-1000,1000,0,1,0,0,0,0,0,0,0
-1000,-1000,3,1,0,0,0,0,0,0,0
-1000,-900,3,1,0,0,0,0,0,0,0
-1000,-800,3,1,0,0,0,0,0,0,0
-1000,-700,3,1,0,0,0,0,0,0,0
-1000,-600,3,1,0,0,0,0,0,0,0
-1000,-500,3,1,0,0,0,0,0,0,0
-1000,-400,3,1,0,0,0,0,0,0,0
-1000,-300,3,1,0,0,0,0,0,0,0
-1000,-200,3,1,0,0,0,0,0,0,0
-1000,-100,3,1,0,0,0,0,0,0,0
-1000,0,3,1,0,0,0,0,0,0,0
-1000,100,3,1,0,0,0,0,0,0,0
-1000,200,3,1,0,0,0,0,0,0,0
-1000,300,3,1,0,0,0,0,0,0,0
-1000,400,3,1,0,0,0,0,0,0,0
-1000,500,3,1,0,0,0,0,0,0,0
-1000,600,3,1,0,0,0,0,0,0,0
-1000,700,3,1,0,0,0,0,0,0,0
-1000,800,3,1,0,0,0,0,0,0,0
-1000,900,3,1,0,0,0,0,0,0,0
-1000,1000,3,1,0,0,0,0,0,0,0
-1000,-1000,6,1,0,0,0,0,0,0,0
-1000,-900,6,1,0,0,0,0,0,0,0
-1000,-800,6,1,0,0,0,0,0,0,0
-1000,-700,6,1,0,0,0,0,0,0,0
-1000,-600,6,1,0,0,0,0,0,0,0
-1000,-500,6,1,0,0,0,0,0,0,0
-1000,-400,6,1,0,0,0,0,0,0,0
-1000,-300,6,1,0,0,0,0,0,0,0
-1000,-200,6,1,0,0,0,0,0,0,0
-1000,-100,6,1,0,0,0,0,0,0,0
-1000,0,6,1,0,0,0,0,0,0,0
-1000,100,6,1,0,0,0,0,0,0,0
-1000,200,6,1,0,0,0,0,0,0,0
-1000,300,6,1,0,0,0,0,0,0,0
-1000,400,6,1,0,0,0,0,0,0,0
-1000,500,6,1,0,0,0,0,0,0,0
-1000,600,6,1,0,0,0,0,0,0,0
-1000,700,6,1,0,0,0,0,0,0,0
-1000,800,6,1,0,0,0,0,0,0,0
-1000,900,6,1,0,0,0,0,0,0,0
-1000,1000,6,1,0,0,0,0,0,0,0
-1000,-1000,9,1,0,0,0,0,0,0,0
-1000,-900,9,1,0,0,0,0,0,0,0
-1000,-800,9,1,0,0,0,0,0,0,0
-1000,-700,9,1,0,0,0,0,0,0,0
-1000,-600,9,1,0,0,0,0,0,0,0
-1000,-500,9,1,0,0,0,0,0,0,0
-1000,-400,9,1,0,0,0,0,0,0,0
-1000,-300,9,1,0,0,0,0,0,0,0
-1000,-200,9,1,0,0,0,0,0,0,0
-1000,-100,9,1,0,0,0,0,0,0,0
-1000,0,9,1,0,0,0,0,0,0,0
-1000,100,9,1,0,0,0,0,0,0,0
-1000,200,9,1,0,0,0,0,0,0,0
-1000,300,9,1,0,0,0,0,0,0,0
-1000,400,9,1,0,0,0,0,0,0,0
-1000,500,9,1,0,0,0,0,0,0,0
-1000,600,9,1,0,0,0,0,0,0,0
-1000,700,9,1,0,0,0,0,0,0,0
-1000,800,9,1,0,0,0,0,0,0,0
-1000,900,9,1,0,0,0,0,0,0,0
-1000,1000,9,1,0,0,0,0,0,0,0
-1000,-1000,12,1,0,0,0,0,0,0,0
-1000,-900,12,1,0,0,0,0,0,0,0
-1000,-800,12,1,0,0,0,0,0,0,0
-1000,-700,12,1,0,0,0,0,0,0,0
-1000,-600,12,1,0,0,0,0,0,0,0
-1000,-500,12,1,0,0,0,0,0,0,0
-1000,-400,12,1,0,0,0,0,0,0,0
-1000,-300,12,1,0,0,0,0,0,0,0
-1000,-200,12,1,0,0,0,0,0,0,0
-1000,-100,12,1,0,0,0,0,0,0,0
-1000,0,12,1,0,0,0,0,0,0,0
-1000,100,12,1,0,0,0,0,0,0,0
-1000,200,12,1,0,0,0,0,0,0,0
-1000,300,12,1,0,0,0,0,0,0,0
-1000,400,12,1,0,0,0,0,0,0,0
-1000,500,12,1,0,0,0,0,0,0,0
-1000,600,12,1,0,0,0,0,0,0,0
-1000,700,12,1,0,0,0,0,0,0,0
-1000,800,12,1,0,0,0,0,0,0,0
-1000,900,12,1,0,0,0,0,0,0,0
-1000,1000,12,1,0,0,0,0,0,0,0
-1000,-1000,15,1,0,0,0,0,0,0,0
-1000,-900,15,1,0,0,0,0,0,0,0
-1000,-800,15,1,0,0,0,0,0,0,0
-1000,-700,15,1,0,0,0,0,0,0,0
-1000,-600,15,1,0,0,0,0,0,0,0
-1000,-500,15,1,0,0,0,0,0,0,0
-1000,-400,15,1,0,0,0,0,0,0,0
-1000,-300,15,1,0,0,0,0,0,0,0
-1000,-200,15,1,0,0,0,0,0,0,0
-1000,-100,15,1,0,0,0,0,0,0,0
-1000,0,15,1,0,0,0,0,0,0,0
-1000,100,15,1,0,0,0,0,0,0,0
-1000,200,15,1,0,0,0,0,0,0,0
-1000,300,15,1,0,0,0,0,0,0,0
-1000,400,15,1,0,0,0,0,0,0,0
-1000,500,15,1,0,0,0,0,0,0,0
-1000,600,15,1,0,0,0,0,0,0,0
-1000,700,15,1,0,0,0,0,0,0,0
-1000,800,15,1,0,0,0,0,0,0,0
-1000,900,15,1,0,0,0,0,0,0,0
-1000,1000,15,1,0,0,0,0,0,0,0
-1000,-1000,18,1,0,0,0,0,0,0,0
-1000,-900,18,1,0,0,0,0,0,0,0
-1000,-800,18,1,0,0,0,0,0,0,0
-1000,-700,18,1,0,0,0,0,0,0,0
-1000,-600,18,1,0,0,0,0,0,0,0
-1000,-500,18,1,0,0,0,0,0,0,0
-1000,-400,18,1,0,0,0,0,0,0,0
-1000,-300,18,1,0,0,0,0,0,0,0
-1000,-200,18,1,0,0,0,0,0,0,0
-1000,-100,18,1,0,0,0,0,0,0,0
-1000,0,18,1,0,0,0,0,0,0,0
-1000,100,18,1,0,0,0,0,0,0,0
-1000,200,18,1,0,0,0,0,0,0,0
-1000,300,18,1,0,0,0,0,0,0,0
-1000,400,18,1,0,0,0,0,0,0,0
-1000,500,18,1,0,0,0,0,0,0,0
-1000,600,18,1,0,0,0,0,0,0,0
-1000,700,18,1,0,0,0,0,0,0,0
-1000,800,18,1,0,0,0,0,0,0,0
-1000,900,18,1,0,0,0,0,0,0,0
-1000,1000,18,1,0,0,0,0,0,0,0
-1000,-1000,21,1,0,0,0,0,0,0,0
-1000,-900,21,1,0,0,0,0,0,0,0
-1000,-800,21,1,0,0,0,0,0,0,0
-1000,-700,21,1,0,0,0,0,0,0,0
-1000,-600,21,1,0,0,0,0,0,0,0
-1000,-500,21,1,0,0,0,0,0,0,0
-1000,-400,21,1,0,0,0,0,0,0,0
-1000,-300,21,1,0,0,0,0,0,0,0
-1000,-200,21,1,0,0,0,0,0,0,0
-1000,-100,21,1,0,0,0,0,0,0,0
-1000,0,21,1,0,0,0,0,0,0,0
-1000,100,21,1,0,0,0,0,0,0,0
-1000,200,21,1,0,0,0,0,0,0,0
-1000,300,21,1,0,0,0,0,0,0,0
-1000,400,21,1,0,0,0,0,0,0,0
-1000,500,21,1,0,0,0,0,0,0,0
-1000,600,21,1,0,0,0,0,0,0,0
-1000,700,21,1,0,0,0,0,0,0,0
-1000,800,21,1,0,0,0,0,0,0,0
-1000,900,21,1,0,0,0,0,0,0,0
-1000,1000,21,1,0,0,0,0,0,0,0
1000,-1000,0,1,0,0,0,0,0,0,0
1000,-900,0,1,0,0,0,0,0,0,0
1000,-800,0,1,0,0,0,0,0,0,0
1000,-700,0,1,0,0,0,0,0,0,0
1000,-600,0,1,0,0,0,0,0,0,0
1000,-500,0,1,0,0,0,0,0,0,0
1000,-400,0,1,0,0,0,0,0,0,0
1000,-300,0,1,0,0,0,0,0,0,0
1000,-200,0,1,0,0,0,0,0,0,1.69
1000,-100,0,1,30.71,26.68,24.43,29.68,15.85,15.43,58.26
1000,0,0,1,205.94,177.55,161.94,198.97,104.73,101.92,269.87
1000,100,0,1,30.7,26.67,24.42,29.67,15.85,15.43,58.25
1000,200,0,1,0,0,0,0,0,0,1.69
1000,300,0,1,0,0,0,0,0,0,0
1000,400,0,1,0,0,0,0,0,0,0
1000,500,0,1,0,0,0,0,0,0,0
1000,600,0,1,0,0,0,0,0,0,0
1000,700,0,1,0,0,0,0,0,0,0
1000,800,0,1,0,0,0,0,0,0,0
1000,900,0,1,0,0,0,0,0,0,0
1000,1000,0,1,0,0,0,0,0,0,0
1000,-1000,3,1,0,0,0,0,0,0,0
1000,-900,3,1,0,0,0,0,0,0,0
1000,-800,3,1,0,0,0,0,0,0,0
1000,-700,3,1,0,0,0,0,0,0,0
1000,-600,3,1,0,0,0,0,0,0,0
1000,-500,3,1,0,0,0,0,0,0,0
1000,-400,3,1,0,0,0,0,0,0,0
1000,-300,3,1,0,0,0,0,0,0,0
1000,-200,3,1,0,0,0,0,0,0,1.68
1000,-100,3,1,30.42,26.48,24.27,29.4,15.73,15.33,57.82
1000,0,3,1,204.02,176.22,160.89,197.11,103.94,101.25,267.61
1000,100,3,1,30.42,26.48,24.27,29.39,15.73,15.33,57.81
1000,200,3,1,0,0,0,0,0,0,1.68
1000,300,3,1,0,0,0,0,0,0,0
1000,400,3,1,0,0,0,0,0,0,0
1000,500,3,1,0,0,0,0,0,0,0
1000,600,3,1,0,0,0,0,0,0,0
1000,700,3,1,0,0,0,0,0,0,0
1000,800,3,1,0,0,0,0,0,0,0
1000,900,3,1,0,0,0,0,0,0,0
1000,1000,3,1,0,0,0,0,0,0,0
1000,-1000,6,1,0,0,0,0,0,0,0
1000,-900,6,1,0,0,0,0,0,0,0
1000,-800,6,1,0,0,0,0,0,0,0
1000,-700,6,1,0,0,0,0,0,0,0
1000,-600,6,1,0,0,0,0,0,0,0
1000,-500,6,1,0,0,0,0,0,0,0
1000,-400,6,1,0,0,0,0,0,0,0
1000,-300,6,1,0,0,0,0,0,0,0
1000,-200,6,1,0,0,0,0,0,0,1.65
1000,-100,6,1,29.58,25.89,23.8,28.59,15.38,15.03,56.52
1000,0,6,1,198.36,172.29,157.75,191.64,101.62,99.27,260.95
1000,100,6,1,29.58,25.89,23.79,28.58,15.38,15.03,56.52
1000,200,6,1,0,0,0,0,0,0,1.65
1000,300,6,1,0,0,0,0,0,0,0
1000,400,6,1,0,0,0,0,0,0,0
1000,500,6,1,0,0,0,0,0,0,0
1000,600,6,1,0,0,0,0,0,0,0
1000,700,6,1,0,0,0,0,0,0,0
1000,800,6,1,0,0,0,0,0,0,0
1000,900,6,1,0,0,0,0,0,0,0
1000,1000,6,1,0,0,0,0,0,0,0
1000,-1000,9,1,0,0,0,0,0,0,0
1000,-900,9,1,0,0,0,0,0,0,0
1000,-800,9,1,0,0,0,0,0,0,0
1000,-700,9,1,0,0,0,0,0,0,0
1000,-600,9,1,0,0,0,0,0,0,0
1000,-500,9,1,0,0,0,0,0,0,0
1000,-400,9,1,0,0,0,0,0,0,0
1000,-300,9,1,0,0,0,0,0,0,0
1000,-200,9,1,0,0,0,0,0,0,1.61
1000,-100,9,1,28.23,24.93,23.03,27.28,14.81,14.54,54.44
1000,0,9,1,189.27,165.92,152.66,182.87,97.85,96.06,250.24
1000,100,9,1,28.23,24.93,23.02,27.27,14.81,14.54,54.43
1000,200,9,1,0,0,0,0,0,0,1.61
1000,300,9,1,0,0,0,0,0,0,0
1000,400,9,1,0,0,0,0,0,0,0
1000,500,9,1,0,0,0,0,0,0,0
1000,600,9,1,0,0,0,0,0,0,0
1000,700,9,1,0,0,0,0,0,0,0
1000,800,9,1,0,0,0,0,0,0,0
1000,900,9,1,0,0,0,0,0,0,0
1000,1000,9,1,0,0,0,0,0,0,0
1000,-1000,12,1,0,0,0,0,0,0,0
1000,-900,12,1,0,0,0,0,0,0,0
1000,-800,12,1,0,0,0,0,0,0,0
1000,-700,12,1,0,0,0,0,0,0,0
1000,-600,12,1,0,0,0,0,0,0,0
1000,-500,12,1,0,0,0,0,0,0,0
1000,-400,12,1,0,0,0,0,0,0,0
1000,-300,12,1,0,0,0,0,0,0,0
1000,-200,12,1,0,0,0,0,0,0,1.54
1000,-100,12,1,26.44,23.65,21.99,25.55,14.05,13.89,51.65
1000,0,12,1,177.25,157.39,145.8,171.25,92.81,91.74,236
1000,100,12,1,26.44,23.65,21.99,25.55,14.05,13.89,51.64
1000,200,12,1,0,0,0,0,0,0,1.54
1000,300,12,1,0,0,0,0,0,0,0
1000,400,12,1,0,0,0,0,0,0,0
1000,500,12,1,0,0,0,0,0,0,0
1000,600,12,1,0,0,0,0,0,0,0
1000,700,12,1,0,0,0,0,0,0,0
1000,800,12,1,0,0,0,0,0,0,0
1000,900,12,1,0,0,0,0,0,0,0
1000,1000,12,1,0,0,0,0,0,0,0
1000,-1000,15,1,0,0,0,0,0,0,0
1000,-900,15,1,0,0,0,0,0,0,0
1000,-800,15,1,0,0,0,0,0,0,0
1000,-700,15,1,0,0,0,0,0,0,0
